_date,episode,message,_status
2026-03-03T07:20:54.983717,Episode 1 – Identity,I liked the bite sized suggestion and appreciate the brevity of the podcast. Short enough to fit in my busy schedule but still incredibly useful ,
2026-03-03T07:19:17.543134,Episode 2 – Discomfort,"Well, it inspired me to get out of the door in my running clothes in the morning, which hasn't happened for about a year!",
2026-03-03T07:17:55.527281,Episode 3 – Savour,I really liked this episode with it's emphasis on pausing and enjoying the moment. It's good to be reminded of the importance of this ,
2026-03-02T15:19:47.035770,Episode 3 – Savour,Excellent! ,
2026-03-02T10:54:14.392071,Episode 1 – Identity,I've stuck the sweet tooth one on my bathroom mirror!,
2026-03-01T14:44:03.307442,Episode 3 – Savour,"I will have my first snack of the day without planning work, check emails or any other activity. I will find this hard but I will give it a go.",
2026-03-01T14:36:33.076547,Episode 3 – Savour,I love this. I actually already do this and it actually makes a difference to my day helping me to be present and even less reactive (sometimes. I have been looking forward to this recording and it didn’t disappoint. I do hope the wonderful weekly dose continues 🙏,
2026-03-01T14:27:38.222597,Episode 1 – Identity,"I’ve made a list of the habits I want to embed, and these sentences will be a positive daily reminder",
2026-03-01T14:10:29.104224,Episode 3 – Savour,Excellent podcast,
2026-02-26T08:45:17.105177,Episode 1 – Identity,Clear concise doable,
2026-02-25T17:26:58.755252,Episode 2 – Discomfort,Great topic. More please! ,
2026-02-25T12:49:23.517970,Episode 1 – Identity,Love this! Would be amazing to have something like this in the app each week as a little pep talk!,
2026-02-24T21:39:27.516866,Episode 1 – Identity,"This hit the nail on the head as I am that person with half filled journals and a started couch to 5k app. James Clear’s book really resonated with me when I read it 3 years ago, so this was a great reminder about that too. “I’m someone who moves every day.” Thank you",
2026-02-24T07:12:29.538713,Episode 2 – Discomfort,Loving these bite size guides. They are very easy to listen to - the voice is calm and the pace is perfect. The actions feel achievable and realistic ,
2026-02-23T15:44:33.163500,Episode 2 – Discomfort,"I really need to stop putting the tv on first thing and just sitting there. It’s affecting my health, my dog, my business. My discomfort will be getting up and getting outside in the mornings  ",
2026-02-23T15:32:28.856730,Episode 1 – Identity,I don’t really know who I am but I’m going to be the person who takes my collagen and HRT every day ,
2026-02-23T13:20:09.340321,Episode 2 – Discomfort,This one didn’t resonate with me as much as the identity one.  It was ok. Speech waaaay too slow.  Like the 1 actionable task,
2026-02-23T13:04:34.622280,Episode 1 – Identity,"I liked the content and the 1 actionable step. Length was fine.  So each was too slow, would prefer faster ",
2026-02-23T11:00:12.354540,Episode 2 – Discomfort,Great. Helpful and motivating ,
2026-02-23T10:59:53.535269,Episode 1 – Identity,Like it. A bit basic maybe ,
2026-02-23T09:28:58.357790,Episode 2 – Discomfort,Just right. I like that each episode focuses on just one small change. This one definitely gave food for thought.,
2026-02-23T09:11:09.122542,Episode 2 – Discomfort,This was thought-provoking and made me realise just how much I already do this and how much of the negative stuff I don’t do. So I gave myself a pat on the back and also realised I can do more - and that it has become easier just as you said. So the podcast was very helpful and I definitely would love them to be included going forward; it’s a focus for the week. I’ll also speak with Joy about it. Thank you,
2026-02-23T08:41:32.362624,Episode 2 – Discomfort,So true,
2026-02-23T08:28:04.828332,Episode 2 – Discomfort,Love the length. Love the content.,
2026-02-23T08:27:57.292781,Episode 1 – Identity,This very much resonated with me . I am like a meerkat I’m interested in everything but often feel I let myself down probably because I try too much . This made a lot of sense to me as I’m often quite hard on myself and feel like I fail myself for not being in everything 100% . This podcast made a lot of sense to me ,
2026-02-23T08:00:04.346977,Episode 2 – Discomfort,Interesting. Very true. I really like the speed of talking on both episodes as time to digest ,
2026-02-23T07:51:06.861772,Episode 1 – Identity,Good thanks. Need to remember that every week when building up my plan. ,
2026-02-23T06:26:32.990539,Episode 1 – Identity,I have just had a really helpful chat with Joy following my previous comment about this podcast. ,
2026-02-23T06:16:20.468767,Episode 1 – Identity,"I loved this: simple and clear. It was a reminder, rather than new information, yet so valuable nevertheless. I have chosen strength training to pop on a Post-it and will see if Joy can ask me how I am getting on. (And I do have some lovely part-used notebooks on a corner shelf!🤣)  ",
2026-02-22T19:29:34.325034,Episode 2 – Discomfort,Excellent! Nothing like a challenge to make you feel a sense of accomplishment & boost your wellbeing. ,
2026-02-22T16:54:23.871438,Episode 1 – Identity,I found this really useful. I have read James clears book and buy into the identity notion but never defined it for myself. Coupling this podcast with access to Joy stopped me from going down a bland “my identity is to eat less upf” route. So the length is perfect. One actionable point. Much longer and there are too many areas to work on straight away and I’d end up agreeing with it all but not doing anything- thank you!,
2026-02-22T15:44:43.385000,Episode 1 – Identity,Useful. And well presented. Would be good to build the podcasts into the app and be able to play offline eg on a flight,
2026-02-22T14:05:00.646289,Episode 1 – Identity,Interesting to me as someone who struggles to form habits consistently. Will try it!,
2026-02-22T13:59:04.226615,Episode 2 – Discomfort,Inspiring ,
2026-02-22T13:51:15.055642,Episode 1 – Identity,"Simple and effective, loved it",
2026-02-22T13:48:14.300990,Episode 2 – Discomfort,"I have a bad habit of keeping big tasks for work to the last minute, usually the Sunday before it's due. I think and I think about it and then at the final opportunity where I have a large chuck of time, I work through it and get it done. Most tasks which bring me discomfort, I avoid until the last minute and it makes me feel overwhelmed and tired. I will try to work through the discomfort starting this afternoon with tasks I need to get ready for school on Tuesday.",
2026-02-22T13:36:24.034847,Episode 2 – Discomfort,This one really resonated with me. This has helped me understand the difference between rest and comfort. ,
