Date,Feedback
2026-03-03,"Well, it inspired me to get out of the door in my running clothes in the morning, which hasn't happened for about a year!"
2026-02-25,Great topic. More please!
2026-02-24,Loving these bite size guides. They are very easy to listen to - the voice is calm and the pace is perfect. The actions feel achievable and realistic
2026-02-23,"I really need to stop putting the tv on first thing and just sitting there. It’s affecting my health, my dog, my business. My discomfort will be getting up and getting outside in the mornings"
2026-02-23,This one didn’t resonate with me as much as the identity one.  It was ok. Speech waaaay too slow.  Like the 1 actionable task
2026-02-23,Great. Helpful and motivating
2026-02-23,Just right. I like that each episode focuses on just one small change. This one definitely gave food for thought.
2026-02-23,This was thought-provoking and made me realise just how much I already do this and how much of the negative stuff I don’t do. So I gave myself a pat on the back and also realised I can do more - and that it has become easier just as you said. So the podcast was very helpful and I definitely would love them to be included going forward; it’s a focus for the week. I’ll also speak with Joy about it. Thank you
2026-02-23,So true
2026-02-23,Love the length. Love the content.
2026-02-23,Interesting. Very true. I really like the speed of talking on both episodes as time to digest
2026-02-22,Excellent! Nothing like a challenge to make you feel a sense of accomplishment & boost your wellbeing.
2026-02-22,Inspiring
2026-02-22,"I have a bad habit of keeping big tasks for work to the last minute, usually the Sunday before it's due. I think and I think about it and then at the final opportunity where I have a large chuck of time, I work through it and get it done. Most tasks which bring me discomfort, I avoid until the last minute and it makes me feel overwhelmed and tired. I will try to work through the discomfort starting this afternoon with tasks I need to get ready for school on Tuesday."
2026-02-22,This one really resonated with me. This has helped me understand the difference between rest and comfort.
